DAY 1,,,
TYPE,EVENT,HRS,
CAI,P1.060,0.5,0.3
ICW,P2.010-,,u
,P2.070,6.5,
,,,
,,,
,,,
,,,
TRAINING HOURS,,7,
DAY 2,,,
TYPE,EVENT,HRS,
CAI,P1.080,2,
CAI,P1.090,1,0.4
CAI,P1.100,1,3
ICW,P2.110,0.5,asdf
ICW,P2.120,1,
JMPS 1,P2.160,2,
,,,
TRAINING HOURS,,7.5,
DAY 3,,,
TYPE,EVENT,HRS,
ICW,P3.010-,,
,P3.100,5.5,
JMPS 2,P3.110,3,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8.5,
DAY 4,,,
TYPE,EVENT,HRS,
CAI,P3.190,1.5,
EXAM (CR),P3.220,0.5,
ICW,P4.010-.020,2,
ICW,P4.040,1,
ICW,P4.060-.070,2,
,,,
,,,
TRAINING HOURS,,7,
DAY 5,,,
TYPE,EVENT,HRS,
MSN PLN,P3.230,2,
OFT 2,P3.240,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 6,,,
TYPE,EVENT,HRS,
ICW,P4.100-,,
,P4.120,3,
NITE LAB,P4.220,5,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 7,,,
TYPE,EVENT,HRS,
MSN PLN,P4.160,2,
OFT 4,P4.170,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 8,,,
TYPE,EVENT,HRS,
ICW,P5.010-,,
,P5.050,4,
ICW,P5.090-,,
,P5.120,4,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 9,,,
TYPE,EVENT,HRS,
MSN PLN,P5.070,2,
OFT 6,P5.080,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 10,,,
TYPE,EVENT,HRS,
MSN PLN,P5.150,2,
OFT 7,P5.160,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 11,,,
TYPE,EVENT,HRS,
ICW,P6.010-,,
,P6.040,4,
ICW,P6.080-,,
,P6.110,4,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 12,,,
TYPE,EVENT,HRS,
MSN PLN,P6.140,2,
OFT 9,P6.150,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 13,,,
TYPE,EVENT,HRS,
ICW,P7.010-,,
,P7.040,2,
ICW,P7.060,1,
PTT 5,P7.070,1,
JMPS 3,P7.080,1.5,
FAM 0,P7.120,3,
,,,
TRAINING HOURS,,8.5,
DAY 14,,,
TYPE,EVENT,HRS,
MSN PLN,P7.090,2,
WTT 1,P7.100,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 15,,,
TYPE,EVENT,HRS,
MSN PLN,P7.170,2.5,
FAM 2,P7.180,5.5,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 16,,,
TYPE,EVENT,HRS,
MSN PLN,P7.210,2.5,
FAM 4,P7.220,5.5,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 17,,,
TYPE,EVENT,HRS,
MSN PLN,P7.230,2.5,
FAM 5,P7.240,5.5,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 18,,,
TYPE,EVENT,HRS,
HITS DAY 1,,8,
CIN: D/E-2C-0520,,,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 19,,,
TYPE,EVENT,HRS,
ICW,P8.010,1,
ICW,P8.020,1,
CAI*,P9.010,0.5,
ICW,P9.020,0.5,
ICW,P9.030,1,
,,,
,,,
TRAINING HOURS,,4,
DAY 20,,,
TYPE,EVENT,HRS,
MSN PLN,P8.040,2,
OFT 11,P8.050,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 21,,,
TYPE,EVENT,HRS,
MSN PLN,P8.060,2.5,
FAM 6N,P8.070,5.5,
,**Unaided-aided transition**,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 22,,,
TYPE,EVENT,HRS,
MSN PLN,P8.100,2.5,
INST 2N,P8.110,5.5,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 23,,,
TYPE,EVENT,HRS,
MSN PLN,P8.120,2,
OFT INST X,P8.130,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 24,,,
TYPE,EVENT,HRS,
ICW,P9.050-,,
ICW,P9.080,2.5,
CAI*,P9.090,0.5,
PTT 6,P9.110,1,
CAI*,P10.010-,,
,P10.030,3,
CAI*,P10.050,1,
TRAINING HOURS,,8,
DAY 25,,,
TYPE,EVENT,HRS,
MSN PLN,P10.070,2,
TOFT 1,P10.080,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 26,,,
TYPE,EVENT,HRS,
MSN PLN,P10.090,2,
DIP 1,P10.100,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 27,,,
TYPE,EVENT,HRS,
MSN PLN,P10.110,2.5,
SAR 2N,P10.120,5.5,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 28,,,
TYPE,EVENT,HRS,
EXAM (O),P12.010,3,
EXAM (C),P12.020,3,
ICW,P13.070,1,
,,,
,,,
,,,
,,,
TRAINING HOURS,,7,
DAY 29,,,
TYPE,EVENT,HRS,
MSN PLN,P12.030,2,
TOFT 2X,P12.040,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
DAY 30,,,
TYPE,EVENT,HRS,
MSN PLN,P12.050,2,
FAM 9X,P12.060,6,
,,,
,,,
,,,
,,,
,,,
TRAINING HOURS,,8,
